,CO,CO2,H,H2,H2O,N,N2,O,OH,OOH,C,COH,O2,
Au-Ti,-4.027497,-2.762604,-2.39210595,-0.6564119,-3.661699,-1.471565,-2.79578,-1.06129385,-3.59303305,-3.60108155,-24.32800646,-18.07704005,-21.4917537,Au-Ti
Au-V,-3.958907,-2.262594,-2.12593595,-2.8144119,-3.092399,-2.213725,-2.28301,-5.44936385,-2.92713305,-4.97197155,-25.43491346,-18.62346705,-21.0074407,Au-V
Au-Cr,-3.693117,-1.664804,-1.67028595,-2.3883319,-2.455389,-1.959955,-1.68769,-4.67511385,-2.03612305,-4.23705155,-25.81895046,-18.73100405,-20.4644177,Au-Cr
Au-Mn,-3.338077,-1.093384,-1.19267595,-1.9358319,-1.843139,-1.282595,-1.11063,-3.62990385,-1.11534305,-3.12964155,-25.84302646,-18.59159005,-19.9103637,Au-Mn
Au-Fe,-2.802907,-0.548634,-0.70116595,-1.3779219,-1.205619,-0.154735,-0.55863,-2.38154385,-0.18574305,-1.03513155,-25.49919346,-18.18244705,-19.2701007,Au-Fe
Au-Co,-2.032037,-0.004044,-0.11103595,-0.6564119,-0.500349,1.367275,0.00163,-1.06129385,0.74958695,-0.05399155,-24.78131946,-17.51852305,-18.6113567,Au-Co
Au-Ni,-0.831747,0.646856,0.75971405,0.3289681,0.296761,3.382375,0.6396,0.50833615,1.79501695,1.07536845,-23.38723946,-16.43624305,-17.8875467,Au-Ni
Au-Mo,-5.437327,-3.260474,-3.43712595,-4.1078119,-4.088129,-3.512945,-3.25422,-6.29209385,-3.60531305,-6.18487155,-26.12846046,-19.07902405,-20.7229677,Au-Mo
Au-Zr,-5.512607,-4.737144,-3.90228595,-4.6978319,-5.380959,-2.391045,-4.4056,-6.95208385,-5.47535305,-5.41230155,-24.18164846,-18.16591205,-22.0537957,Au-Zr
Au-Nb,-5.776917,-4.071674,-4.00332595,-4.6435819,-4.968279,-3.814765,-4.08966,-7.36215385,-4.95419305,-5.11597155,-25.66013746,-18.97973105,-21.6889347,Au-Nb
Au-Ru,-4.236397,-1.773784,-2.14526595,-2.7542719,-2.245299,-1.555105,-1.7467,-3.41216385,-1.07543305,-2.11849155,-25.71905446,-18.23486805,-18.9999517,Au-Ru
Au-Rh,-3.008667,-0.967784,-1.25506595,-1.6385719,-1.363869,0.761785,-0.98162,-1.41418385,0.31831695,-0.76452155,-24.62572746,-17.06045105,-17.9743347,Au-Rh
Au-Pd,-0.934927,0.118136,0.29058405,0.0009681,-0.005449,3.798395,0.11469,0.90237615,1.98176695,0.95327845,-22.56648946,-15.38092305,-17.0513067,Au-Pd
Au-Hf,-6.967937,-5.782944,-5.33488595,-6.0957719,-6.838689,-3.574145,-5.82764,-8.25622385,-6.96922305,-6.82178155,-24.18045346,-18.29537705,-22.1338707,Au-Hf
Au-Ta,-7.325687,-5.582914,-5.62156595,-6.1445619,-6.516569,-5.042805,-5.61166,-8.84237385,-6.57498305,-6.63077155,-25.58941346,-19.13031705,-21.8551407,Au-Ta
Au-W,-7.099467,-4.790844,-5.21002595,-5.6882519,-5.645149,-5.182915,-4.79069,-8.18883385,-5.41669305,-8.15087155,-26.31876446,-19.42911805,-21.0453317,Au-W
Au-Re,-6.441077,-3.827194,-4.37848595,-4.9212019,-4.552039,-4.368935,-3.68817,-6.75215385,-3.83497305,-6.24443155,-26.34599046,-19.20651405,-20.0761277,Au-Re
Au-Os,-5.580607,-2.211884,-3.52515595,-4.0934619,-3.456779,-3.015295,-2.67828,-4.89935385,-2.28418305,-4.43032155,-25.98774946,-18.60793305,-19.0822167,Au-Os
Au-Ir,-4.187957,-1.746884,-2.43558595,-2.8469219,-2.149219,-0.638095,-1.76136,-2.64402385,-0.62081305,-1.77060155,-25.02522746,-17.43620105,-17.9629347,Au-Ir
Au-Pt,-1.857417,-0.376444,-0.72547595,-0.5799019,-0.530709,2.570105,-0.37395,-0.05845385,1.41881695,0.25043845,-23.21554346,-15.68211705,-16.8108907,Au-Pt
